customer_id;first_name;last_name;gender;DOB;job_title;job_industry_category;wealth_segment;deceased_indicator;owns_car
64;Gerek;Yve;Male;1978-03-25;Legal Assistant;IT;High Net Worth;N;No
65;Yale;Tanser;Male;1976-04-01;Information Systems Manager;Financial Services;Affluent Customer;N;Yes
66;Anselm;Gawne;Male;2002-03-11;Account Executive;Argiculture;High Net Worth;N;No
67;Vernon;;Male;1960-06-14;Web Developer II;Retail;Mass Customer;N;No
68;Dahlia;Eddoes;Female;1974-04-21;Information Systems Manager;n/a;Affluent Customer;N;No
69;Heidi;Milner;Female;1969-06-22;Web Developer II;n/a;Mass Customer;N;No
70;Foster;Vannoort;Male;1993-02-27;Paralegal;Financial Services;Affluent Customer;N;No
71;Hoyt;Glavias;Male;1985-01-27;Research Associate;Argiculture;Affluent Customer;N;Yes
72;Sammy;Cheese;Male;1972-02-13;Administrative Officer;Manufacturing;Affluent Customer;N;Yes
73;Minette;Worters;Female;1960-05-27;Teacher;n/a;Affluent Customer;N;Yes
74;Pansy;Kiddie;Female;1969-06-19;;n/a;Mass Customer;N;Yes
75;Dollie;Sealy;Female;1978-07-15;VP Product Management;Property;Mass Customer;N;No
76;Rea;Hasser;Female;1978-01-23;Statistician II;Retail;High Net Worth;N;Yes
77;Shermie;Andrin;Male;1989-09-12;Automation Specialist IV;Financial Services;Mass Customer;N;No
78;Arch;Van der Kruis;Male;1985-03-12;Business Systems Development Analyst;Argiculture;Affluent Customer;N;No
79;Tybi;Silliman;Female;1968-10-02;Account Executive;Manufacturing;Mass Customer;N;No
80;Pablo;Small;Male;1978-04-24;Data Coordiator;Entertainment;Mass Customer;N;No
81;Bee;Blazewicz;Female;1986-09-04;;Health;High Net Worth;N;No
82;Gleda;Cokely;Female;1965-06-28;Software Test Engineer III;Property;High Net Worth;N;No
83;Kerr;Simmell;Male;1967-02-26;Internal Auditor;IT;Mass Customer;N;Yes
84;Rich;Mathiasen;Male;1958-02-07;Accountant III;n/a;Mass Customer;N;Yes
85;Kane;Tixall;Male;1958-05-21;Analyst Programmer;n/a;Mass Customer;N;No
86;Job;Sleney;Male;1989-03-04;Occupational Therapist;Health;High Net Worth;N;Yes
87;Fields;Langdon;Male;1974-04-23;Editor;Financial Services;Mass Customer;N;No
88;Malynda;Tumber;Female;1966-02-03;Help Desk Operator;Property;High Net Worth;N;Yes
89;Benedicto;Hoxey;Male;1967-01-22;Speech Pathologist;Health;Mass Customer;N;Yes
90;Cary;Garron;Male;1984-11-12;Quality Control Specialist;Manufacturing;Mass Customer;N;No
91;Dylan;Meaker;Male;1955-02-24;Senior Financial Analyst;Financial Services;Affluent Customer;N;Yes
92;Jodee;Judkins;Female;1980-09-11;Recruiting Manager;Health;Mass Customer;N;No
93;Gordon;Gowar;Male;1976-07-16;Project Manager;Retail;Mass Customer;N;Yes
94;Wallache;Simchenko;Male;1974-08-07;Civil Engineer;Manufacturing;Mass Customer;N;No
95;Nomi;Mallinder;Female;1960-12-25;Software Engineer III;Manufacturing;Affluent Customer;N;Yes
96;Heath;Olford;Male;1968-08-31;Nuclear Power Engineer;Manufacturing;Mass Customer;N;No
97;Arne;Corain;Male;1979-07-27;Community Outreach Specialist;Financial Services;Mass Customer;N;Yes
98;Allianora;Babalola;Female;1956-03-17;Safety Technician IV;Health;Mass Customer;N;No
99;Reggie;Mulliner;Male;1998-06-13;VP Accounting;Financial Services;Mass Customer;N;No
100;Tripp;Steed;Male;1968-05-11;General Manager;Financial Services;Mass Customer;N;Yes
101;Goran;Kwietek;Male;1975-12-29;Nurse Practicioner;Manufacturing;High Net Worth;N;No
102;Langsdon;Tranfield;Male;1956-11-27;Quality Control Specialist;Manufacturing;Affluent Customer;N;No
103;Ethyl;Runham;Female;1997-04-21;Product Engineer;Financial Services;Affluent Customer;N;Yes
104;Odille;Panketh;Female;1978-06-06;Automation Specialist II;Health;Mass Customer;N;Yes
105;Maribeth;Pristnor;Female;2001-09-17;Recruiting Manager;Manufacturing;Mass Customer;N;No
106;Glyn;;Male;1966-07-03;Software Test Engineer III;Health;High Net Worth;N;Yes
107;Pris;Stallebrass;Female;1990-07-01;Nurse Practicioner;Financial Services;Mass Customer;N;Yes
108;Kayle;Mingaud;Female;1994-03-14;;n/a;High Net Worth;N;No
109;Cody;Blabey;Male;1978-12-11;Marketing Assistant;n/a;Affluent Customer;N;Yes
110;Sascha;St. Quintin;Male;2000-07-31;;Financial Services;Affluent Customer;N;No
111;Cele;Evason;Female;1993-08-29;Analyst Programmer;n/a;Mass Customer;N;No
112;Shena;Parren;Female;1975-08-12;Marketing Manager;Retail;High Net Worth;N;No
113;Gage;Nickless;Male;1956-05-06;Staff Scientist;n/a;Mass Customer;N;No
114;Sunny;Swindells;Female;1985-10-23;Teacher;Entertainment;Affluent Customer;N;No
115;Alberik;Mereweather;Male;1981-12-21;Account Executive;Health;Mass Customer;N;No
116;Scottie;Swiffen;Male;1999-02-05;Assistant Professor;Manufacturing;Affluent Customer;N;Yes
117;Nance;Suttling;Female;1982-02-23;Marketing Manager;Manufacturing;Mass Customer;N;No
118;Prentice;Pearmain;Male;1959-11-12;Budget/Accounting Analyst IV;n/a;High Net Worth;N;No
119;Willey;Chastanet;Male;1981-12-04;Associate Professor;n/a;High Net Worth;N;Yes
120;Sloan;Wagg;Male;1978-09-02;Legal Assistant;Financial Services;High Net Worth;N;Yes
121;Myles;Pauncefort;Male;1957-10-02;Graphic Designer;Manufacturing;Mass Customer;N;No
122;Colver;Itter;Male;1979-04-19;Quality Control Specialist;Financial Services;Mass Customer;N;Yes
123;Almeta;Kalinsky;Female;1988-12-03;Analyst Programmer;Financial Services;High Net Worth;N;No
124;Kath;Cunney;Female;1995-05-03;Administrative Assistant II;Health;High Net Worth;N;Yes
125;Darrelle;Antoniewski;Female;1960-03-17;Computer Systems Analyst II;Property;Mass Customer;N;No
126;Norman;Cliff;Male;1992-10-15;Administrative Officer;Health;Mass Customer;N;Yes
127;Merrili;Whitear;Female;1974-12-03;Compensation Analyst;Financial Services;Mass Customer;N;No
128;Isidro;Cypler;Male;1977-07-17;Systems Administrator III;Property;Mass Customer;N;Yes
129;Weidar;Silkstone;Male;1985-07-20;Financial Advisor;Financial Services;High Net Worth;N;Yes
130;Raddy;Delete;Male;1997-07-18;Chemical Engineer;Manufacturing;Mass Customer;N;No
131;Jana;Renyard;Female;1964-10-16;Administrative Officer;Retail;High Net Worth;N;No
132;Celesta;Willavoys;Female;1963-07-07;Web Designer I;Manufacturing;Mass Customer;N;Yes
133;Eldridge;Fiddeman;Male;1977-06-13;VP Accounting;Financial Services;Mass Customer;N;Yes
134;Merna;McCulloch;Female;1997-08-01;Legal Assistant;Telecommunications;Affluent Customer;N;Yes
135;Rosalia;Sigart;Female;1975-01-18;Internal Auditor;IT;Mass Customer;N;No
136;Mel;Bennet;Male;1973-05-26;Senior Developer;Manufacturing;High Net Worth;N;Yes
137;Vaughn;Artin;Male;1987-11-21;Office Assistant II;Property;High Net Worth;N;No
138;Onofredo;Franc;Male;1985-04-28;Recruiter;Financial Services;Affluent Customer;N;Yes
139;Gar;;Male;1964-07-28;Operator;Telecommunications;Affluent Customer;N;No
140;Morrie;Flaxon;Male;1994-05-20;Programmer Analyst III;Manufacturing;Mass Customer;N;No
141;Townsend;Trobe;Male;1954-06-25;Teacher;Financial Services;High Net Worth;N;Yes
142;Bentley;Fortesquieu;Male;1967-08-07;Quality Engineer;Health;Affluent Customer;N;No
143;Kendall;Figg;Male;1957-09-01;Operator;Argiculture;Mass Customer;N;Yes
144;Jory;Barrabeale;U;;Environmental Tech;IT;Mass Customer;N;No
145;Filippo;Ferrara;Male;1997-07-21;Account Executive;Financial Services;Mass Customer;N;No
146;Ricoriki;Matlock;Male;1985-04-08;Quality Control Specialist;Manufacturing;Mass Customer;N;No
147;Rea;Pattrick;Female;1973-12-06;Analog Circuit Design manager;Health;Mass Customer;N;Yes
148;Jaquith;Maffey;Female;1981-05-08;Programmer Analyst III;n/a;Mass Customer;N;Yes
149;Drucy;Kausche;Female;1995-01-31;Research Nurse;Health;Mass Customer;N;Yes
150;Bradly;Crosse;Male;1983-08-23;Cost Accountant;Financial Services;Affluent Customer;N;No
151;Donnie;Brimson;Male;1965-01-31;Marketing Manager;Manufacturing;Mass Customer;N;Yes
152;Stephana;Cardew;Female;1981-03-03;Compensation Analyst;Financial Services;Mass Customer;N;No
153;Lorilyn;Walshe;Female;1977-07-28;Assistant Media Planner;Entertainment;Mass Customer;N;Yes
154;Faydra;Dulieu;Female;1958-02-13;Junior Executive;n/a;Mass Customer;N;No
155;Orran;Bogges;Male;1985-12-28;Quality Engineer;Manufacturing;Mass Customer;N;No
156;Shayla;Rimmington;Female;1979-09-09;Cost Accountant;Financial Services;Mass Customer;N;Yes
157;Chad;Houtby;Male;1974-11-23;Financial Advisor;Financial Services;Affluent Customer;N;No
158;Hamlin;Odams;Male;1984-09-03;Internal Auditor;n/a;Affluent Customer;N;No
159;Arin;Matskevich;Male;1987-05-12;Research Nurse;Health;Affluent Customer;N;No
160;Wake;Durning;Male;1964-07-15;Registered Nurse;Health;Mass Customer;N;No
161;Tadd;Bloss;Male;1976-01-21;;n/a;Mass Customer;N;No
162;Port;Acuna;Male;1979-08-12;Nurse Practicioner;IT;Mass Customer;N;No
163;Kessia;Helder;Female;1976-09-06;Librarian;Entertainment;High Net Worth;N;Yes
164;Aarika;Van Vuuren;Female;1999-08-07;Senior Editor;Retail;Affluent Customer;N;Yes
165;Aldon;Roelofs;Male;1984-03-25;Administrative Officer;Argiculture;Mass Customer;N;Yes
166;Elston;Oleszczak;Male;1955-06-12;Structural Analysis Engineer;Manufacturing;Affluent Customer;N;No
167;Nathalie;Tideswell;Female;1969-10-27;;Health;High Net Worth;N;Yes
168;Reggie;Broggetti;U;;General Manager;IT;Affluent Customer;N;Yes
169;Alfy;Bruhnke;Male;1957-10-19;Data Coordiator;Telecommunications;High Net Worth;N;Yes
170;Jammal;Gever;Male;1975-06-02;Pharmacist;Health;High Net Worth;N;No
171;Halli;Davidoff;Female;1970-12-04;Assistant Manager;Manufacturing;Mass Customer;N;No
172;Hilton;Carney;Male;1988-09-12;Editor;Manufacturing;Affluent Customer;N;Yes
173;Ebba;Hanselmann;Female;1997-01-02;General Manager;Health;Affluent Customer;N;No
174;Catie;Tosspell;Female;1989-11-26;Food Chemist;Health;Mass Customer;N;No
175;Templeton;Hambrook;Male;1975-11-28;Quality Engineer;Manufacturing;Affluent Customer;N;No
176;Angelo;Clayal;Male;1992-04-13;Accountant I;Property;Mass Customer;N;No
177;Ondrea;Pablos;Female;1989-11-09;Professor;Financial Services;High Net Worth;N;No
178;Matthieu;Bertelmot;Male;1967-04-03;;n/a;Affluent Customer;N;No
179;Esteban;Sewill;Male;1966-05-11;Environmental Tech;Manufacturing;High Net Worth;N;Yes
180;Trisha;Neasham;Female;1971-09-17;Web Designer III;Argiculture;Affluent Customer;N;No
181;Pavla;Braunle;Female;1982-11-21;Senior Editor;Manufacturing;Mass Customer;N;No
182;Lydon;Dahlman;Male;1992-11-20;Sales Associate;Financial Services;Affluent Customer;N;Yes
183;Dannie;Hissie;Female;1997-08-05;Geologist III;Retail;Affluent Customer;N;No
184;Nappie;Paolo;Male;1971-12-13;Marketing Manager;Manufacturing;High Net Worth;N;Yes
185;Crosby;Walcot;Male;1979-12-13;;Property;Mass Customer;N;Yes
186;Mireielle;Jeppe;Female;1974-05-06;Software Test Engineer I;Financial Services;Mass Customer;N;No
187;Pincas;Ather;Male;1954-01-28;Structural Engineer;n/a;Mass Customer;N;No
188;Audry;Seine;Female;1975-06-22;Safety Technician II;Property;High Net Worth;N;Yes
189;Umberto;Torricella;Male;1981-07-19;Safety Technician I;Financial Services;Affluent Customer;N;No
190;Hayley;Girardengo;Female;1979-02-04;Registered Nurse;Health;Affluent Customer;N;No
191;Christopher;Heining;Male;1960-04-27;Help Desk Operator;n/a;Affluent Customer;N;Yes
192;Goldi;Osler;Female;1978-11-19;Junior Executive;Health;Mass Customer;N;Yes
193;Foss;Hardes;Male;1964-07-22;Recruiting Manager;Manufacturing;Mass Customer;N;Yes
194;Ursala;Ferrai;Female;1974-11-16;Web Developer III;Financial Services;Affluent Customer;N;No
195;Talyah;Rylatt;Female;1958-11-14;Project Manager;Manufacturing;Mass Customer;N;No
196;Swen;Odhams;Male;1966-02-22;Programmer Analyst II;Manufacturing;High Net Worth;N;No
197;Avis;;Female;1977-01-27;;n/a;High Net Worth;N;No
198;Vanya;Gumb;Female;1981-11-29;Assistant Media Planner;Entertainment;Mass Customer;N;No
199;Verla;Alven;Female;1978-02-13;Junior Executive;Health;Mass Customer;N;Yes
200;Hube;Weald;Male;1957-02-04;Physical Therapy Assistant;Property;Affluent Customer;N;Yes
201;Salem;Huie;Male;1966-04-20;Design Engineer;Manufacturing;Mass Customer;N;Yes
202;Audie;Pillinger;Female;1963-06-24;Librarian;Entertainment;Affluent Customer;N;Yes
203;Donovan;Conry;Male;1964-01-13;Senior Quality Engineer;Argiculture;Mass Customer;N;Yes
204;Thorny;Hackworth;Male;1976-10-01;Editor;Financial Services;Mass Customer;N;No
205;Rolfe;Kellard;Male;1958-12-01;Administrative Assistant II;Financial Services;Mass Customer;N;Yes
206;Mari;Chevolleau;Female;1954-07-19;Statistician I;n/a;Mass Customer;N;Yes
207;Adena;Whyman;Female;1994-08-10;;n/a;Mass Customer;N;No
208;Rutter;Excell;Male;1994-10-31;Office Assistant III;Property;High Net Worth;N;No
209;Udall;Bellard;Male;1957-08-28;Analog Circuit Design manager;n/a;Affluent Customer;N;Yes
210;Albrecht;Thomasson;Male;1963-11-18;Assistant Manager;Property;Mass Customer;N;No
211;Beitris;;Female;1974-03-04;VP Marketing;Manufacturing;Mass Customer;N;Yes
212;Nanice;Ellse;Female;2001-11-19;Desktop Support Technician;IT;Affluent Customer;N;No
213;Lockwood;Exroll;Male;1996-05-14;Actuary;Financial Services;High Net Worth;N;Yes
214;Jeramie;Cellier;Male;1957-11-29;Food Chemist;Health;Mass Customer;N;No
215;Debera;Foxworthy;Female;1974-06-24;Assistant Professor;Retail;High Net Worth;N;Yes
216;Cinderella;Parcall;Female;1995-01-12;Quality Engineer;Financial Services;High Net Worth;N;Yes
217;Jeralee;Quartly;Female;1979-12-09;;Manufacturing;High Net Worth;N;No
218;Stefa;Dunnan;Female;1993-08-06;Administrative Officer;Property;High Net Worth;N;Yes
219;Markus;Mughal;Male;1964-11-25;Database Administrator III;Health;Mass Customer;N;No
220;Jeniffer;Apark;Female;1954-05-10;Electrical Engineer;Manufacturing;High Net Worth;N;No
221;Mara;Bloore;Female;1980-03-10;Tax Accountant;Manufacturing;Mass Customer;N;No
222;Nev;Larive;Male;1978-09-03;Clinical Specialist;Health;Mass Customer;N;No
223;Ossie;Meaton;Male;1983-11-26;VP Sales;n/a;Affluent Customer;N;Yes
224;Morgun;Girvan;Male;1967-12-03;Compensation Analyst;Financial Services;Affluent Customer;N;No
225;Brittaney;Pring;Female;1977-03-11;Pharmacist;Health;Affluent Customer;N;No
226;Bondie;Letty;Male;1977-11-11;Database Administrator IV;Manufacturing;Mass Customer;N;No
227;Wendall;McKeand;Male;1973-08-14;Accountant I;Entertainment;Mass Customer;N;No
228;Lucia;Pickervance;Female;1986-05-25;Systems Administrator II;Manufacturing;High Net Worth;N;No
229;Vaughn;Lambis;Male;1966-03-06;;Property;High Net Worth;N;No
230;Maegan;Scyone;Female;1954-06-24;Internal Auditor;Property;High Net Worth;N;No
231;Basile;Winsor;Male;1995-08-05;Design Engineer;Financial Services;Mass Customer;N;Yes
232;Zaria;Koeppke;Female;1987-11-11;Professor;Retail;Mass Customer;N;No
233;Art;Barwell;Male;1986-08-08;Environmental Tech;Property;Mass Customer;N;No
234;Mead;Alpes;Female;1969-08-12;Chief Design Engineer;Retail;High Net Worth;N;No
235;Leona;Phateplace;Female;1976-12-26;Social Worker;Health;Mass Customer;N;No
236;Tybalt;Gillingwater;Male;1954-10-30;Research Nurse;Health;Affluent Customer;N;No
237;Reginald;Dartan;Male;1974-03-07;Account Coordinator;Property;High Net Worth;N;Yes
238;Max;Bilborough;Male;1984-02-04;Programmer III;n/a;Mass Customer;N;Yes
239;Wells;Pressman;Male;1992-12-13;Registered Nurse;Health;Affluent Customer;N;No
240;Gavin;Fawks;Male;1989-07-28;Administrative Assistant III;IT;High Net Worth;N;Yes
241;Quillan;Duigan;Male;1987-05-09;Quality Engineer;Entertainment;Mass Customer;N;No
242;Taite;Droghan;Male;1992-03-20;Nurse;Property;Affluent Customer;N;No
243;Barbara;Croxley;Female;1976-09-02;Teacher;Manufacturing;High Net Worth;N;Yes
244;Germayne;Sperry;Male;1974-11-25;;Retail;Affluent Customer;N;No
245;Noell;Grahlmans;Female;2001-09-26;Associate Professor;Financial Services;Affluent Customer;N;No
246;Binny;Whight;Female;1991-02-28;Technical Writer;Manufacturing;High Net Worth;N;No
247;Kristal;Joysey;Female;1983-05-06;Staff Accountant II;Financial Services;High Net Worth;N;Yes
248;Inger;Eskell;Female;1978-04-15;Clinical Specialist;Health;Affluent Customer;N;Yes
249;D'arcy;Slay;Male;1992-09-13;Quality Control Specialist;IT;High Net Worth;N;No
250;Kristofer;;Male;1988-04-15;Legal Assistant;Health;Mass Customer;N;Yes
251;Mala;;Female;1977-12-24;VP Sales;Financial Services;Affluent Customer;N;Yes
252;Anthea;Ruskin;Female;1983-01-24;Account Coordinator;Property;Mass Customer;N;Yes
253;Amalee;Choak;Female;1997-05-11;Food Chemist;Health;Mass Customer;N;Yes
254;Barbie;Rubi;Female;1961-09-22;Information Systems Manager;Retail;Mass Customer;N;No
255;Keeley;Kruger;Female;1954-01-15;Desktop Support Technician;IT;Mass Customer;N;No
256;Linell;Beadle;Female;1975-05-07;Director of Sales;Health;High Net Worth;N;Yes
257;Marissa;;Female;1966-02-08;Sales Associate;Manufacturing;Affluent Customer;N;Yes
258;Othella;Keher;Female;1992-05-03;Administrative Officer;Manufacturing;High Net Worth;N;No
259;Venita;Dymick;Female;1983-07-22;Senior Developer;Health;High Net Worth;N;Yes
260;Farand;Marriner;Female;1979-08-30;Senior Quality Engineer;Health;High Net Worth;N;Yes
261;Marve;Pryn;Male;1977-10-15;Structural Engineer;n/a;Mass Customer;N;No
262;Cordie;Petrelli;Male;1977-12-23;;Health;High Net Worth;N;Yes
263;Tonia;Leigh;Female;1985-11-19;Dental Hygienist;Health;High Net Worth;N;No
264;Jedd;Spiby;Male;1977-12-07;Technical Writer;Health;Mass Customer;N;No
265;Pennie;Stoile;Male;1965-10-05;Sales Representative;Retail;High Net Worth;N;Yes
266;Lelia;Garatty;Female;1989-07-19;Account Executive;Retail;Affluent Customer;N;No
267;Edgar;Buckler;U;;;IT;High Net Worth;N;No
268;Kacie;Kidston;Female;1978-10-18;Chemical Engineer;Manufacturing;Mass Customer;N;No
269;Zacherie;Grindley;Male;1954-09-19;Nurse Practicioner;Property;Mass Customer;N;Yes
270;Auberta;Roundtree;Female;1970-12-10;Budget/Accounting Analyst III;n/a;Mass Customer;N;Yes
271;Doll;Burtwell;Female;1991-02-13;Financial Advisor;Financial Services;Mass Customer;N;No
272;Arlie;Crean;Female;1987-06-06;Product Engineer;Retail;Mass Customer;N;Yes
273;Nevile;Abraham;Male;1963-04-22;Computer Systems Analyst IV;n/a;Mass Customer;N;No
274;Tessi;Hesse;Female;1976-09-15;Social Worker;Health;Mass Customer;N;Yes
275;Dud;;Male;1955-07-27;VP Sales;Health;High Net Worth;N;No
276;Goldi;Dwine;Female;1990-03-25;;Financial Services;Mass Customer;N;No
277;Jehanna;Alvarado;Female;1956-02-19;VP Product Management;n/a;High Net Worth;N;No
278;Sydney;Georger;Male;1997-07-30;Executive Secretary;n/a;Affluent Customer;N;Yes
279;Tamera;Hinckes;Female;1981-09-09;Web Designer I;Manufacturing;Mass Customer;N;No
280;Welch;MacAllaster;Male;1995-03-22;Geologist I;n/a;Affluent Customer;N;Yes
281;Jeanette;Sizzey;Female;1972-12-27;Cost Accountant;Financial Services;High Net Worth;N;Yes
282;Lauren;Curcher;Male;1989-10-27;VP Quality Control;Argiculture;High Net Worth;N;Yes
283;Sari;Noye;Female;1991-02-04;Assistant Manager;Retail;Mass Customer;N;No
284;Seth;Moorman;Male;1986-04-11;Financial Analyst;Financial Services;High Net Worth;N;Yes
285;Julee;Janovsky;Female;1977-11-19;Community Outreach Specialist;Manufacturing;Mass Customer;N;No
286;Kiley;Canaan;Male;1989-08-01;Accounting Assistant II;Manufacturing;Affluent Customer;N;Yes
287;Hannie;Wodham;Female;1985-05-06;Nuclear Power Engineer;Manufacturing;Affluent Customer;N;No
288;Ebenezer;Seedman;Male;1985-09-08;;Manufacturing;High Net Worth;N;No
289;Modestia;Lithgow;Female;1970-04-12;Clinical Specialist;Health;High Net Worth;N;No
290;Giorgio;Kevane;U;;Senior Sales Associate;IT;Mass Customer;N;No
291;Aime;Burston;Female;1971-10-22;Assistant Media Planner;Entertainment;Mass Customer;N;No
292;Gelya;Gerant;Female;1961-11-24;VP Product Management;n/a;Affluent Customer;N;Yes
293;Virgilio;Willcocks;Male;1989-12-10;Administrative Assistant III;Manufacturing;Mass Customer;N;Yes
294;Magnum;Slowan;Male;1959-04-01;Recruiting Manager;n/a;High Net Worth;N;No
295;Lena;Chape;Female;1964-12-26;Database Administrator II;n/a;Mass Customer;N;Yes
296;Marshal;Rathbone;Male;1972-06-19;;Health;High Net Worth;N;Yes
297;Cecile;MacLise;Female;1959-04-27;Electrical Engineer;Manufacturing;High Net Worth;N;No
298;Maurise;Lenglet;Male;1956-08-15;Engineer I;Manufacturing;High Net Worth;N;No
299;Corabelle;Hartnell;Female;1956-09-15;Budget/Accounting Analyst I;Financial Services;Mass Customer;N;Yes
